postcode,postcode_status,LSOA_code,LSOA_name,index_of_multiple_deprivation_rank int,index_of_multiple_deprivation_decile
GL50 2EH,Terminated,E01022137,Cheltenham 011C E01022137,26715,9
GL50 2EJ,Live,E01022137,Cheltenham 011C E01022137,26715,9
GL50 2EL,Live,E01022137,Cheltenham 011C E01022137,26715,9
GL50 2EN,Live,E01022137,Cheltenham 011C E01022137,26715,9
GL50 2EP,Live,E01022137,Cheltenham 011C E01022137,26715,9
GL50 2EQ,Live,E01022137,Cheltenham 011C E01022137,26715,9
GL50 2ER,Live,E01022137,Cheltenham 011C E01022137,26715,9
GL50 2ES,Live,E01022137,Cheltenham 011C E01022137,26715,9
GL50 2ET,Live,E01022137,Cheltenham 011C E01022137,26715,9
GL50 2EU,Live,E01022138,Cheltenham 011D E01022138,32357,10
GL50 2EW,Live,E01022137,Cheltenham 011C E01022137,26715,9
GL50 2EX,Live,E01022138,Cheltenham 011D E01022138,32357,10
GL50 2EY,Live,E01022138,Cheltenham 011D E01022138,32357,10
GL50 2EZ,Live,E01022137,Cheltenham 011C E01022137,26715,9
GL50 2GA,Live,E01022135,Cheltenham 011A E01022135,30282,10
GL50 2GB,Live,E01022138,Cheltenham 011D E01022138,32357,10
GL50 2HA,Live,E01022137,Cheltenham 011C E01022137,26715,9
GL50 2HB,Live,E01022138,Cheltenham 011D E01022138,32357,10
GL50 2HD,Live,E01022138,Cheltenham 011D E01022138,32357,10
GL50 2HE,Live,E01022138,Cheltenham 011D E01022138,32357,10
GL50 2HF,Live,E01022138,Cheltenham 011D E01022138,32357,10
GL50 2HG,Live,E01022137,Cheltenham 011C E01022137,26715,9
